id;product_name;cat_name;num;path;img;exp
622;Актинидия kolomikta Szymanowski;Лианы;13;lian/;13;.jpg
623;Актинидия kolomikta Adam;Лианы;14;lian/;14;.jpg
624;Актинидия kolomikta Dr Szymanowski;Лианы;15;lian/;15;.jpg
625;Виноград амурский, 3года;Лианы;16;lian/;16;.jpg
626;Виноград девичий;Лианы;17;lian/;17-19;.jpg
627;Виноград девичий (двухлетний);Лианы;18;lian/;17-19;.jpg
628;Виноград девичий (трёхлетний);Лианы;19;lian/;17-19;.jpg
629;Виноград девичий guinguefolia (5-ти листный) 100-120;Лианы;20;lian/;20;.jpg
630;Жимолость каприфоль, 1год;Лианы;21;lian/;21-22;.jpg
631;Жимолость каприфоль, 2года;Лианы;22;lian/;21-22;.jpg
632;Клематис (сорта) в ассортименте;Лианы;23;lian/;23;.jpg
633;Клематис Bees Jubilee, С2, 40-60см;Лианы;24;lian/;24-25;.jpg
634;Клематис Bees Jubilee;Лианы;25;lian/;24-25;.jpg
635;Клематис Commtesse de Bouchaud;Лианы;26;lian/;26;.jpg
636;Клематис Duchess of Edinburgh;Лианы;27;lian/;27;.jpg
637;Клематис Ernest Markham;Лианы;28;lian/;28;.jpg
638;Клематис Girenas;Лианы;29;lian/;29;.jpg
639;Клематис Hagleu Hybrid;Лианы;30;lian/;30;.jpg
640;Клематис Jan Pawel 11;Лианы;31;lian/;31;.jpg
641;Клематис Kardinal Wyszynski, С2, 40-60см;Лианы;32;lian/;32;.jpg
642;Клематис Marcelina, С2, 40-60см;Лианы;33;lian/;33;.jpg
643;Клематис Maria Sklodowska-Curie;Лианы;34;lian/;34;.jpg
644;Клематис Markham, С2, 40-60см;Лианы;35;lian/;35;.jpg
645;Клематис Matka Siedliska, С2, 40-60см;Лианы;36;lian/;36;.jpg
646;Клематис Mrs Cholmondeley;Лианы;37;lian/;37;.jpg
647;Клематис Nelly Moser;Лианы;38;lian/;38;.jpg
648;Клематис Niobe;Лианы;39;lian/;39;.jpg
649;Клематис Polish Spirit, С2, 40-60см;Лианы;40;lian/;40;.jpg
650;Клематис Princess Diana;Лианы;41;lian/;41;.jpg
651;Клематис Purpurea Plena Elegans;Лианы;42;lian/;42;.jpg
652;Клематис Rouge Cardinal;Лианы;43;lian/;43;.jpg
653;Клематис Stasik;Лианы;44;lian/;44;.jpg
654;Клематис Teshio;Лианы;45;lian/;45;.jpg
655;Клематис The President;Лианы;46;lian/;46;.jpg
656;Клематис The President, С2, 40-60см;Лианы;47;lian/;47;.jpg
657;Клематис Veronica s Choice;Лианы;48;lian/;48;.jpg
658;Лимонник;Лианы;49;lian/;49;.jpg
